denominazione_regione,lat,long
Abruzzo,42.35122196,13.39843823
Basilicata,40.63947052,15.80514834
Calabria,38.90597598,16.59440194
Campania,40.83956555,14.25084984
Emilia-Romagna,44.49436681,11.341720800000001
Friuli Venezia Giulia,45.6494354,13.76813649
Lazio,41.89277044,12.48366722
Liguria,44.41149315,8.9326992
Lombardia,45.46679409,9.190347404
Marche,43.61675973,13.5188753
Molise,41.55774754,14.65916051
P.A. Bolzano,46.49933453,11.35662422
P.A. Trento,46.06893511,11.12123097
Piemonte,45.0732745,7.680687483
Puglia,41.12559576,16.86736689
Sardegna,39.21531192,9.110616306
Sicilia,38.11569725,13.362356699999998
Toscana,43.76923077,11.25588885
Umbria,43.10675841,12.38824698
Valle d'Aosta,45.73750286,7.320149366
Veneto,45.43490485,12.33845213
